City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
204,esmeraldas,-19.7625,-44.3139,22.17,89,100,3.8,BR,1681934164
205,san luis de la loma,17.2706,-100.8939,30.74,54,32,4.7,MX,1681934165
206,celestun,20.8667,-90.4,30.46,53,0,6.58,MX,1681934165
207,whitehorse,60.7161,-135.0538,5.57,64,75,0.0,CA,1681934166
208,invercargill,-46.4,168.35,11.68,82,95,0.89,NZ,1681934167
209,melekeok village,7.4957,134.6367,26.31,89,75,0.0,PW,1681934167
210,lompoc,34.6391,-120.4579,22.61,58,20,8.94,US,1681933967
211,smithers,54.7804,-127.1743,6.18,70,20,2.57,CA,1681934168
212,tarabha,20.7333,83.65,29.7,20,0,2.34,IN,1681934169
213,bosaso,11.2842,49.1816,27.32,71,1,0.7,SO,1681934169
214,kyosai,34.8503,128.5886,15.98,97,33,2.35,KR,1681934170
215,ngara,-2.5122,30.6558,13.59,94,20,1.11,TZ,1681934171
216,ilulissat,69.2167,-51.1,-4.99,86,100,2.57,GL,1681933963
217,dudinka,69.4058,86.1778,-21.77,100,99,1.99,RU,1681934172
218,rockport,28.0206,-97.0544,28.03,100,0,8.75,US,1681934014
219,paran'ga,56.7039,49.4047,5.6,91,6,2.21,RU,1681934173
220,shadegan,30.6497,48.6647,25.97,15,2,3.02,IR,1681934174
221,chibougamau,49.9168,-74.3659,-2.21,74,100,6.17,CA,1681934009
222,cabo san lucas,22.8909,-109.9124,28.67,63,100,0.89,MX,1681933939
223,weno,7.4515,151.8468,26.97,83,100,3.09,FM,1681934176
224,shingu,33.7333,135.9833,17.02,93,100,2.16,JP,1681934177
225,constantia,44.1833,28.65,10.39,94,100,4.42,RO,1681934104
226,phan rang-thap cham,11.5667,108.9833,24.85,88,64,1.98,VN,1681934179
227,colonia,50.9333,6.95,11.64,40,0,3.6,DE,1681934180
228,coron,11.9986,120.2043,26.36,82,2,2.42,PH,1681934181
229,port lincoln,-34.7333,135.8667,14.82,67,100,2.59,AU,1681934181
230,sinop,41.7711,34.8709,9.87,91,92,1.9,TR,1681934182
231,senanga,-16.1167,23.2667,21.16,46,32,2.58,ZM,1681934182
232,rudsar,37.1376,50.288,13.99,76,11,1.22,IR,1681934183
